 TITLE                             | AUTHOR             | YEAR    | CATEGORY     |
FAHRENHEIT 451                     |BRADBURY, RAY       |2013     |SCI FICTION   |
FORTRAN IV PROGRAMMING FOR ENGINEER|MURRILL, PAUL W.    |1973     |SCIENCE       |
MECHANICS                          |OSGOOD, WILLIAM F.  |1948     |SCIENCE       |
COMPUTATIONAL PHYSICS              |NEWMAN, MARK        |2013     |SCIENCE       |
SCIENTIFIC WRITING AND COMMUNICATIO|HOFMANN, ANGELIKA H.|2014     |SCIENCE       |
CONCEPTS AND METHODS OF THEORETICAL|LINDSAY, ROBERT B.  |1951     |SCIENCE       |
GENERAL METHODS FOR SOLVING PHYSICS|BELIKOV, B.S.       |1989     |SCIENCE       |
SUBATOMIC PHYSICS                  |FRAUENFELDER, HANS  |1974     |SCIENCE       |
EXPERIMENTAL ATOMIC PHYSICS        |HARNWELL, G.P.      |1933     |SCIENCE       |
MODERN PHYSICS                     |KRANE, KENNETH S.   |2020     |SCIENCE       |
ILLUSTRADED DICTIONARY OF ELECTRONI|YOUNG, JOHN D.      |1983     |SCIENCE       |
INTRO TO QUANTUM MECHANICS         |GRIFFITHS, DAVID J. |2018     |SCIENCE       |
INTRO TO QUANTUM MECHANICS         |PAULING, LINUS      |1963     |SCIENCE       |
INTRODUCTION TO ELECTRODYNAMICS    |GRIFFITHS, DAVID J. |2017     |SCIENCE       |
EXPERIMENTS IN MODERN PHYSICS      |MELISSINOS, ADRIAN C|1966     |SCIENCE       |
INTRODUCTORY NUCLEAR PHYSICS       |HALLIDAY, DAVID     |1961     |SCIENCE       |
DATA AND ERROR ANALYSIS IN PHYSICS |LICHTEN, WILLIAM    |1988     |SCIENCE       |
OPTICKS                            |NEWTON, SIR ISAAC   |1979     |SCIENCE       |
OPTICS                             |HECHT, EUGENE       |2017     |SCIENCE       |
A STRUCTURED APPROACH TO FORTRAN 77|ELLIS, T.M.R        |1982     |SCIENCE       |
ATOMIC PHYSICS                     |FINKELBURG, WOLFGANG|1950     |SCIENCE       |
